date,precision_in_bits,pphys,dx,dz,dm,error_rate,qubits,code_cycles
2024-03-29 20:56,128,1e-05,3,3,3,6.984347374485909e-06,186,36.004267500705254
2024-03-29 20:56,128,1e-05,3,3,5,1.1340536950106997e-05,190,60.00727927679512
2024-03-29 20:56,128,1e-05,3,3,7,1.5696694860544575e-05,194,84.01098486481149
2024-03-29 20:56,128,1e-05,3,3,9,2.005282065975507e-05,198,108.01520240850499
2024-03-29 20:56,128,1e-05,3,3,11,2.440891461426458e-05,202,132.01996993560772
2024-03-29 20:56,128,1e-05,3,5,3,9.384320046298676e-06,282,36.0041846260906
2024-03-29 20:56,128,1e-05,3,5,5,1.5340451575345482e-05,286,60.00679914368265
2024-03-29 20:56,128,1e-05,3,5,7,2.129652094645115e-05,290,84.00996527725913
2024-03-29 20:56,128,1e-05,3,5,9,2.7252526728216676e-05,294,108.01338741660187
2024-03-29 20:56,128,1e-05,3,5,11,3.320846891921724e-05,298,132.01706512106256
2024-03-29 20:58,128,1e-05,3,7,3,1.1784285319921651e-05,378,36.00436606341078
2024-03-29 20:58,128,1e-05,3,7,5,1.9340345265533097e-05,382,60.00709316549156
2024-03-29 20:58,128,1e-05,3,7,7,2.6896306542703044e-05,386,84.01054135831843
2024-03-29 20:58,128,1e-05,3,7,9,3.445216676483743e-05,390,108.01433964071569
2024-03-29 20:58,128,1e-05,3,7,11,4.200792592948713e-05,394,132.01848747024604
2024-03-29 20:58,128,1e-05,3,9,3,1.4184241198839398e-05,474,36.00454766007999
2024-03-29 20:58,128,1e-05,3,9,5,2.3340212200256376e-05,478,60.00738765281199
2024-03-29 20:58,128,1e-05,3,9,7,3.2496039698814225e-05,482,84.01111839964409
2024-03-29 20:58,128,1e-05,3,9,9,4.1651720116549966e-05,486,108.01529353133334
2024-03-29 20:58,128,1e-05,3,9,11,5.0807253450259135e-05,490,132.019912427098
2024-03-29 20:59,128,1e-05,3,11,3,1.6584187681087586e-05,570,36.00472925766079
2024-03-29 20:59,128,1e-05,3,11,5,2.7340052373841913e-05,574,60.00768214158987
2024-03-29 20:59,128,1e-05,3,11,7,3.8095720403235317e-05,578,84.01169544474068
2024-03-29 20:59,128,1e-05,3,11,9,4.885118676355161e-05,582,108.01624742969818
2024-03-29 20:59,128,1e-05,3,11,11,5.9606451450889e-05,586,132.02133739778407
2024-03-29 20:59,128,1e-05,5,3,3,5.8444053308921504e-09,346,36.00435039164819
2024-03-29 20:59,128,1e-05,5,3,5,9.24066398712807e-09,350,60.00722626142891
2024-03-29 20:59,128,1e-05,5,3,7,1.2636929832863102e-08,354,84.01088075326304
2024-03-29 20:59,128,1e-05,5,3,9,1.603319854863609e-08,358,108.01503030273365
2024-03-29 20:59,128,1e-05,5,3,11,1.9429470367220026e-08,362,132.01971283476968
2024-03-29 21:00,128,1e-05,5,5,3,7.284405702393126e-09,506,36.004045279659046
2024-03-29 21:00,128,1e-05,5,5,5,1.1640659636806914e-08,510,60.00600217363099
2024-03-29 21:00,128,1e-05,5,5,7,1.5996919279055946e-08,514,84.00840292349143
2024-03-29 21:00,128,1e-05,5,5,9,2.035317889408135e-08,518,108.0108047444731
2024-03-29 21:00,128,1e-05,5,5,11,2.4709438476884857e-08,522,132.01320704714337
2024-03-29 21:00,128,1e-05,5,7,3,8.724413100564797e-09,666,36.00416630222051
2024-03-29 21:00,128,1e-05,5,7,5,1.4040668200214058e-08,670,60.00600174174155
2024-03-29 21:00,128,1e-05,5,7,7,1.9356931233183386e-08,674,84.00840178312119
2024-03-29 21:00,128,1e-05,5,7,9,2.4673194222083794e-08,678,108.01080278144241
2024-03-29 21:00,128,1e-05,5,7,11,2.998945715998684e-08,682,132.01320399862516
2024-03-29 21:01,128,1e-05,5,9,3,1.016442079046964e-08,826,36.004287580846444
2024-03-29 21:01,128,1e-05,5,9,5,1.644067676357521e-08,830,60.006002043871845
2024-03-29 21:01,128,1e-05,5,9,7,2.2716943185123566e-08,834,84.00840212840744
2024-03-29 21:01,128,1e-05,5,9,9,2.8993209545213407e-08,838,108.01080335195012
2024-03-29 21:01,128,1e-05,5,9,11,3.526947583490873e-08,842,132.01320485078196
2024-03-29 21:01,128,1e-05,5,11,3,1.1604428769575996e-08,986,36.00440886009777
2024-03-29 21:01,128,1e-05,5,11,5,1.8840685317547754e-08,990,60.00600234652637
2024-03-29 21:01,128,1e-05,5,11,7,2.6076955118195637e-08,994,84.00840247475475
2024-03-29 21:01,128,1e-05,5,11,9,3.33132248371517e-08,998,108.01080392426726
2024-03-29 21:01,128,1e-05,5,11,11,4.054949446323576e-08,1002,132.0132057057246
2024-03-29 21:02,128,1e-05,7,3,3,5.5491827794172555e-12,538,36.004631108432704
2024-03-29 21:02,128,1e-05,7,3,5,8.533063892460513e-12,542,60.00767610420568
2024-03-29 21:02,128,1e-05,7,3,7,1.1523693752660548e-11,546,84.01176221965572
