date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,n1,error_rate,qubits,code_cycles
2024-04-02 16:32,128,1e-05,3,1,1,3,1,1,2,3.91336236319441e-06,452,47.65798921260957
2024-04-02 16:32,128,1e-05,3,1,1,3,1,1,4,2.849470162038611e-06,726,23.611671892632458
2024-04-02 16:32,128,1e-05,3,1,1,3,1,1,6,2.615033723733319e-06,1000,15.734332234239487
2024-04-02 16:32,128,1e-05,3,1,1,3,1,3,2,5.966051208234076e-06,824,46.616208766534584
2024-04-02 16:32,128,1e-05,3,1,1,3,1,3,4,5.244715704079054e-06,1126,23.004381317705974
2024-04-02 16:32,128,1e-05,3,1,1,3,1,3,6,5.238312132966903e-06,1428,22.796819524197858
2024-04-02 16:32,128,1e-05,3,1,1,3,1,5,2,1.0015279688083774e-05,1516,46.6143148321621
2024-04-02 16:32,128,1e-05,3,1,1,3,1,5,4,9.76415838419337e-06,1846,38.32379228530027
2024-04-02 16:32,128,1e-05,3,1,1,3,1,5,6,9.76415843092306e-06,2176,38.32379243597964
2024-04-02 16:32,128,1e-05,3,1,1,3,1,7,2,1.535738557890732e-05,2528,54.11989409497622
2024-04-02 16:32,128,1e-05,3,1,1,3,1,7,4,1.53573855789988e-05,2886,54.119894095188876
2024-04-02 16:32,128,1e-05,3,1,1,3,1,7,6,1.535738557909028e-05,3244,54.119894095401534
2024-04-02 16:32,128,1e-05,3,1,1,3,3,1,2,4.213988426079094e-06,596,46.76059083443753
2024-04-02 16:32,128,1e-05,3,1,1,3,3,1,4,3.6147642913811854e-06,870,23.47255823448779
2024-04-02 16:32,128,1e-05,3,1,1,3,3,1,6,3.5285813319048062e-06,1144,15.710214754189728
2024-04-02 16:32,128,1e-05,3,1,1,3,3,3,2,8.862755743904957e-06,968,45.408184447346066
2024-04-02 16:32,128,1e-05,3,1,1,3,3,3,4,8.143855647482778e-06,1270,22.70401754243804
2024-04-02 16:32,128,1e-05,3,1,1,3,3,3,6,8.137450082828702e-06,1572,22.50179825670602
2024-04-02 16:32,128,1e-05,3,1,1,3,3,5,2,1.4845966941035563e-05,1660,45.40622745790754
2024-04-02 16:32,128,1e-05,3,1,1,3,3,5,4,1.4595661061070328e-05,1990,37.501264691608164
2024-04-02 16:33,128,1e-05,3,1,1,3,3,5,6,1.4595661061518878e-05,2320,37.501264839269474
2024-04-02 16:33,128,1e-05,3,1,1,3,3,7,2,2.2120437642789062e-05,2672,52.50201770563657
2024-04-02 16:33,128,1e-05,3,1,1,3,3,7,4,2.212043764278969e-05,3030,52.50201770584329
2024-04-02 16:33,128,1e-05,3,1,1,3,3,7,6,2.2120437642790316e-05,3388,52.50201770605002
2024-04-02 16:33,128,1e-05,3,1,1,3,5,1,2,5.429062447751092e-06,740,47.098999959018585
2024-04-02 16:33,128,1e-05,3,1,1,3,5,1,4,4.890528242831559e-06,1014,23.642537737547066
2024-04-02 16:33,128,1e-05,3,1,1,3,5,1,6,4.873294399612119e-06,1288,15.824025451815315
2024-04-02 16:33,128,1e-05,3,1,1,3,5,3,2,1.176271132994767e-05,1112,45.4080485499509
2024-04-02 16:33,128,1e-05,3,1,1,3,5,3,4,1.1043813734328742e-05,1414,22.704010813072017
2024-04-02 16:33,128,1e-05,3,1,1,3,5,3,6,1.1037408349765392e-05,1716,22.50179212794391
2024-04-02 16:33,128,1e-05,3,1,1,3,5,5,2,1.9679167216083867e-05,1804,45.40598265646718
2024-04-02 16:33,128,1e-05,3,1,1,3,5,5,4,1.942886390186746e-05,2134,37.50109771642962
2024-04-02 16:33,128,1e-05,3,1,1,3,5,5,6,1.9428863902589396e-05,2464,37.501097864090305
2024-04-02 16:33,128,1e-05,3,1,1,3,5,7,2,2.8886830527487052e-05,2816,52.50169032741435
2024-04-02 16:33,128,1e-05,3,1,1,3,5,7,4,2.888683052748806e-05,3174,52.50169032762108
2024-04-02 16:33,128,1e-05,3,1,1,3,5,7,6,2.888683052748907e-05,3532,52.5016903278278
2024-04-02 16:33,128,1e-05,3,1,1,3,7,1,2,6.7635609243822355e-06,884,47.440449745774735
2024-04-02 16:33,128,1e-05,3,1,1,3,7,1,4,6.2980977815280575e-06,1158,23.813940680420988
2024-04-02 16:33,128,1e-05,3,1,1,3,7,1,6,6.362664527569316e-06,1432,15.938766059384099
