date,precision_in_bits,pphys,dx,dz,dm,error_rate,qubits,code_cycles
2024-04-01 10:38,128,1e-05,3,1,1,1.8458667150048343e-06,86,12.14968627130268
2024-04-01 10:38,128,1e-05,3,1,3,4.587658779457221e-06,90,36.8046044552161
2024-04-01 10:38,128,1e-05,3,1,5,7.350237898817268e-06,94,62.36713211728103
2024-04-01 10:38,128,1e-05,3,1,7,1.0117123025891813e-05,98,88.91059587204309
2024-04-01 10:38,128,1e-05,3,3,1,2.6432668556626147e-06,182,12.137093510926096
2024-04-01 10:38,128,1e-05,3,3,3,6.984347374485909e-06,186,36.004267500705254
2024-04-01 10:38,128,1e-05,3,3,5,1.1340536950106997e-05,190,60.00727927679512
2024-04-01 10:38,128,1e-05,3,3,7,1.5696694860544575e-05,194,84.01098486481149
2024-04-01 10:38,128,1e-05,3,5,1,3.479847693386592e-06,278,12.208987925283859
2024-04-01 10:38,128,1e-05,3,5,3,9.384320046298676e-06,282,36.0041846260906
2024-04-01 10:38,128,1e-05,3,5,5,1.5340451575345482e-05,286,60.00679914368265
2024-04-01 10:38,128,1e-05,3,5,7,2.129652094645115e-05,290,84.00996527725913
2024-04-01 10:38,128,1e-05,3,7,1,4.351718921634663e-06,374,12.281373989426488
2024-04-01 10:38,128,1e-05,3,7,3,1.1784285319921651e-05,378,36.00436606341078
2024-04-01 10:38,128,1e-05,3,7,5,1.9340345265533097e-05,382,60.00709316549156
2024-04-01 10:38,128,1e-05,3,7,7,2.6896306542703044e-05,386,84.01054135831843
2024-04-01 10:38,128,1e-05,5,1,1,9.692522463160503e-08,182,12.26190606006653
2024-04-01 10:38,128,1e-05,5,1,3,7.82182682525648e-09,186,37.30171277534248
2024-04-01 10:38,128,1e-05,5,1,5,1.619145208710461e-08,190,63.77060470244534
2024-04-01 10:38,128,1e-05,5,1,7,2.8837323879990105e-08,194,91.70970878042992
2024-04-01 10:38,128,1e-05,5,3,1,8.396242648073459e-08,342,12.24084773430354
2024-04-01 10:38,128,1e-05,5,3,3,5.8444053308921504e-09,346,36.00435039164819
2024-04-01 10:38,128,1e-05,5,3,5,9.24066398712807e-09,350,60.00722626142891
2024-04-01 10:38,128,1e-05,5,3,7,1.2636929832863102e-08,354,84.01088075326304
2024-04-01 10:38,128,1e-05,5,5,1,2.6349761683080854e-07,502,12.360379270294725
2024-04-01 10:38,128,1e-05,5,5,3,7.284405702393126e-09,506,36.004045279659046
2024-04-01 10:38,128,1e-05,5,5,5,1.1640659636806914e-08,510,60.00600217363099
2024-04-01 10:38,128,1e-05,5,5,7,1.5996919279055946e-08,514,84.00840292349143
2024-04-01 10:38,128,1e-05,5,7,1,6.064497290476465e-07,662,12.481230305178817
2024-04-01 10:38,128,1e-05,5,7,3,8.724413100564797e-09,666,36.00416630222051
2024-04-01 10:38,128,1e-05,5,7,5,1.4040668200214058e-08,670,60.00600174174155
